,PA01H:CO,PA01H:PM10,PA01H:PM25,PA01H:NO2,PA01H:NO,PA01H:NOX,PA01H:O3,OBJECTID
,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,0
,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,1
,Monoxyde de carbone,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone,2
,CO,PM10,PM25,NO2,NO,NOX,O3,3
,mg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2021/01/06 23:00:00+00,,26.200000,,,,,4.600000,147
2021/01/07 00:00:00+00,,24.400000,,,,,6.900000,148
2021/01/07 01:00:00+00,,25.300000,,,,,13.700000,149
2021/01/07 02:00:00+00,,25.700000,,,,,18.800000,150
2021/01/07 03:00:00+00,,21.900000,,,,,24.600000,151
2021/01/07 04:00:00+00,,19.600000,,,,,20.900000,152
2021/01/07 05:00:00+00,,22.600000,,,,,14.400000,153
2021/01/07 06:00:00+00,,26.800000,,,,,10.700000,154
2021/01/07 07:00:00+00,,28.600000,,,,,5,155
2021/01/07 08:00:00+00,,29.200000,,,,,3.100000,156
2021/01/07 09:00:00+00,,23.100000,,,,,4.900000,157
2021/01/07 10:00:00+00,,31.900000,,,,,5.600000,158
2021/01/07 11:00:00+00,,31.700000,,,,,10.500000,159
2021/01/07 12:00:00+00,,29.800000,,,,,13.400000,160
2021/01/07 13:00:00+00,,27.900000,,,,,16.100000,161
2021/01/07 14:00:00+00,,27.500000,,,,,16,162
2021/01/07 15:00:00+00,,28.300000,,,,,22.800000,163
2021/01/07 16:00:00+00,,21,,,,,25.200000,164
2021/01/07 17:00:00+00,,19.200000,,,,,16.800000,165
2021/01/07 18:00:00+00,,15.800000,,,,,24.300000,166
2021/01/07 19:00:00+00,,12.500000,,,,,17.700000,167
2021/01/07 20:00:00+00,,16.100000,11.600000,,,,23.900000,168
2021/01/07 21:00:00+00,,15,12.800000,,,,18.700000,169
2021/01/07 22:00:00+00,,15.700000,12.900000,,,,24.200000,170
2021/01/07 23:00:00+00,,16.200000,13.500000,,,,30.900000,171
2021/01/08 00:00:00+00,,17.400000,12.900000,,,,31.600000,172
2021/01/08 01:00:00+00,,17.400000,14.400000,,,,30.500000,173
2021/01/08 02:00:00+00,,17.800000,12.800000,,,,23.100000,174
2021/01/08 03:00:00+00,,19.700000,14,,,,24.200000,175
2021/01/08 04:00:00+00,,18.900000,14.500000,,,,29.600000,176
2021/01/08 05:00:00+00,,18.200000,13.100000,,,,31.600000,177
2021/01/08 06:00:00+00,,18.300000,13,,,,21.600000,178
